iter	MultiClass
0	1.056344383
1	1.016384751
2	0.97642109
3	0.9414342817
4	0.9118470961
5	0.8857275316
6	0.8629489049
7	0.841659896
8	0.8303743263
9	0.8102022336
10	0.7961317569
11	0.7782250945
12	0.7673772855
13	0.7500797861
14	0.7338449015
15	0.7218729483
16	0.7067982727
17	0.6945759289
18	0.6870527678
19	0.6748826511
20	0.662449787
21	0.6518174379
22	0.6422816346
23	0.6334582153
24	0.6260464997
25	0.6206958827
26	0.6168691397
27	0.6101029328
28	0.6044386762
29	0.5972054805
30	0.5894361868
31	0.5852652868
32	0.5790984475
33	0.5741784996
34	0.567444103
35	0.561716796
36	0.5572142336
37	0.5516256579
38	0.5489903631
39	0.5443705938
40	0.541286668
41	0.5357799594
42	0.5312985783
43	0.5280280787
44	0.5227380708
45	0.5195919339
46	0.5166446389
47	0.5127230897
48	0.5101247869
49	0.506755335
50	0.5046463245
51	0.5010972695
52	0.4985967447
53	0.496252422
54	0.494618077
55	0.4927491039
56	0.4903054779
57	0.4886766508
58	0.4856147271
59	0.4820790837
60	0.4795409811
61	0.4771280957
62	0.4740605133
63	0.472222604
64	0.4702771572
65	0.4694528945
66	0.4671203266
67	0.464961356
68	0.4630757871
69	0.4612933569
70	0.459546369
71	0.4575254789
72	0.4542365222
73	0.4531728771
74	0.4510561951
75	0.4498439551
76	0.4470912454
77	0.4458274534
78	0.4449911268
79	0.4432573396
80	0.4413637691
81	0.4393663237
82	0.4386324453
83	0.4372191681
84	0.4369118266
85	0.4356742603
86	0.4332567331
87	0.4327185867
88	0.4314020585
89	0.4302784663
90	0.4280260192
91	0.4254493502
92	0.4242520691
93	0.4230133487
94	0.4209328062
95	0.4203320896
96	0.4185335578
97	0.4180227734
98	0.4168519118
99	0.4153224728
100	0.4148249059
101	0.4130857568
102	0.4115798191
103	0.410208832
104	0.4082573382
105	0.4049454677
106	0.4037874591
107	0.4022681923
108	0.3994977104
109	0.3981935536
110	0.3972241764
111	0.3956899801
112	0.3943986799
113	0.3932423611
114	0.3925039854
115	0.3912478599
116	0.3897411517
117	0.388670559
118	0.3868106687
119	0.3839507872
120	0.3818668018
121	0.3811043447
122	0.3806197489
123	0.3793298261
124	0.3774414544
125	0.3756603173
126	0.3744447351
127	0.3736339286
128	0.3718333115
129	0.3696851032
130	0.3692257342
131	0.3676004421
132	0.3669922458
133	0.365459434
134	0.3639172644
135	0.3631267567
136	0.3618125214
137	0.3603047152
138	0.3592821024
139	0.3577140226
140	0.3572186158
141	0.3563762184
142	0.3546791919
143	0.3535061674
144	0.3525348398
145	0.3516216651
146	0.3510962804
147	0.3501113678
148	0.3486987687
149	0.3477893263
150	0.3461065608
151	0.3445866368
152	0.3432754533
153	0.3420559695
