iter	Passed	Remaining
0	9	9082
1	16	8171
2	23	7661
3	29	7268
4	39	7908
5	45	7589
6	52	7388
7	60	7526
8	65	7250
9	70	6991
10	76	6873
11	82	6802
12	88	6707
13	94	6675
14	101	6637
15	106	6521
16	111	6420
17	117	6384
18	122	6318
19	128	6284
20	134	6257
21	142	6337
22	148	6292
23	154	6280
24	160	6247
25	165	6216
26	169	6119
27	174	6047
28	180	6034
29	186	6017
30	191	5989
31	196	5951
32	202	5943
33	208	5929
34	213	5888
35	219	5872
36	224	5841
37	230	5829
38	235	5806
39	241	5784
40	244	5716
41	249	5692
42	255	5690
43	261	5690
44	267	5684
45	273	5677
46	280	5682
47	286	5682
48	291	5660
49	297	5655
50	303	5653
51	309	5644
52	314	5626
53	321	5624
54	327	5620
55	332	5611
56	337	5587
57	342	5567
58	348	5561
59	354	5557
60	360	5549
61	364	5520
62	371	5523
63	377	5523
64	383	5517
65	391	5547
66	397	5531
67	403	5531
68	409	5528
69	415	5524
70	421	5520
71	427	5506
72	434	5512
73	440	5509
74	444	5485
75	451	5484
76	457	5480
77	463	5473
78	467	5452
79	473	5444
80	478	5431
81	484	5428
82	490	5417
83	494	5390
84	496	5348
85	500	5322
86	506	5315
87	512	5312
88	518	5309
89	524	5305
90	530	5301
91	537	5303
92	542	5294
93	549	5296
94	555	5288
95	559	5268
96	563	5244
97	568	5230
98	572	5206
99	577	5201
100	583	5189
101	589	5188
102	596	5192
103	601	5186
104	607	5178
105	614	5179
106	619	5168
107	625	5168
108	631	5162
109	640	5186
110	649	5197
111	655	5197
112	667	5237
113	679	5283
114	686	5280
115	701	5342
116	714	5389
117	719	5381
118	727	5382
119	736	5399
120	741	5388
121	747	5378
122	752	5366
123	758	5361
124	765	5358
125	773	5365
126	781	5372
127	795	5419
128	803	5424
129	814	5447
130	825	5474
131	836	5498
132	844	5504
133	854	5523
134	867	5560
135	880	5595
136	889	5600
137	899	5620
138	914	5663
139	926	5694
140	934	5691
141	942	5696
142	949	5687
143	954	5673
144	962	5676
145	968	5667
146	975	5662
147	983	5659
148	989	5652
149	996	5647
150	1004	5645
151	1009	5632
152	1015	5623
153	1021	5609
154	1027	5603
155	1035	5602
156	1043	5601
157	1051	5606
158	1057	5593
159	1063	5581
160	1070	5576
161	1073	5554
162	1079	5545
163	1085	5535
164	1092	5527
165	1097	5511
166	1102	5501
167	1108	5491
168	1113	5475
169	1119	5466
170	1125	5458
171	1131	5445
172	1137	5436
173	1144	5430
174	1149	5418
175	1155	5409
176	1160	5396
177	1165	5384
178	1171	5374
179	1176	5359
180	1182	5348
181	1186	5331
182	1191	5320
183	1197	5312
184	1204	5305
185	1209	5292
186	1215	5283
187	1220	5270
188	1224	5253
189	1230	5246
190	1236	5238
191	1242	5227
192	1247	5217
193	1253	5207
194	1258	5194
195	1262	5178
196	1268	5170
197	1274	5162
198	1280	5153
199	1286	5145
200	1290	5130
201	1296	5119
202	1301	5111
203	1307	5101
204	1313	5093
205	1318	5083
206	1325	5077
207	1330	5065
208	1336	5059
209	1341	5046
210	1347	5038
211	1353	5031
212	1359	5024
213	1365	5016
214	1371	5008
215	1377	5000
216	1383	4993
217	1389	4983
218	1395	4975
219	1400	4965
220	1406	4958
221	1410	4944
222	1416	4935
223	1422	4926
224	1428	4920
225	1432	4905
226	1438	4897
227	1443	4889
228	1449	4881
229	1455	4873
230	1461	4866
231	1467	4858
232	1473	4851
233	1479	4843
234	1485	4836
235	1492	4831
236	1498	4823
237	1504	4816
